user,timestamp,surah,verse
320,1446144677,18,19
338,1439783775,113,4
417,1481327569,4,16
474,1513271137,55,21
489,1445463971,4,66
508,1453192658,2,142
544,1457847572,13,11
566,1436107327,105,3
566,1436107434,103,1
566,1446775420,2,64
566,1446862930,2,91
566,1447036366,2,185
566,1447121305,2,206
566,1447208549,2,237
566,1447293868,2,262
566,1447467063,3,40
566,1447553240,3,81
598,1443022594,94,2
612,1443054613,64,9
619,1446420830,67,13
647,1435397073,31,17
647,1436727186,23,97
647,1436968268,23,109
647,1436968456,23,116
647,1437154736,60,4
647,1437745056,3,8
647,1437745109,3,9
647,1437745375,3,16
647,1437920682,57,9
647,1437921803,57,28
647,1438052010,59,22
647,1438052022,59,23
647,1438052029,59,24
647,1438099005,6,33
647,1438901721,7,23
647,1440250857,41,34
647,1447588192,35,3
705,1445778167,1,6
705,1445778265,2,11
719,1434901304,107,2
725,1435663647,103,3
727,1451461311,2,109
747,1436423151,7,29
747,1443041379,2,9
753,1445816596,10,5
764,1458667743,67,8
789,1435025555,2,2
818,1444177510,2,141
818,1444262908,2,151
818,1444867754,2,161
818,1444955146,2,164
818,1444956080,2,171
818,1445818903,2,181
818,1445820356,2,187
818,1445992201,2,196
818,1446078650,2,211
818,1446253761,2,221
818,1446423648,2,231
818,1446501070,2,250
818,1446640495,2,261
818,1447029815,2,271
818,1448237718,2,282
818,1448325142,3,1
818,1448412781,3,12
826,1443058755,2,201
828,1439476744,46,15
828,1440851539,4,138
843,1444303986,47,4
843,1446202182,19,4
847,1435328203,9,7
847,1436606137,34,13
847,1440978635,41,30
847,1449757043,2,177
867,1448190059,96,10
870,1435404047,2,3
870,1435404060,2,11
870,1437743341,3,51
874,1441286605,78,1
887,1438388200,2,81
900,1444303810,36,82
919,1434611120,20,26
929,1435199844,5,90
929,1435283466,7,26
929,1435284483,7,81
929,1435324822,11,50
929,1435325024,11,61
929,1435325142,11,64
929,1435326393,12,31
929,1435347685,17,111
929,1435357433,18,23
929,1435365665,21,47
929,1435394055,22,31
929,1435542523,50,12
929,1435542574,50,13
929,1435768776,2,151
929,1435769117,2,1
929,1436580827,57,1
929,1436722479,75,23
929,1436736537,70,1
929,1436804252,2,18
929,1436839386,37,16
929,1436926308,37,180
929,1436995868,2,28
929,1437143391,11,112
929,1437256147,2,185
929,1437365260,4,97
929,1437366360,4,158
929,1437609582,2,256
929,1437676819,26,99
929,1437936735,31,20
929,1437956646,49,11
929,1438015912,33,50
929,1438032641,21,108
929,1438054438,9,104
929,1438169191,3,118
929,1438227786,4,157
929,1438228291,5,22
929,1438260749,5,60
929,1438261241,5,72
929,1438262237,5,103
929,1438454016,11,84
929,1438538954,20,52
929,1438608315,26,210
929,1438631133,32,5
929,1438631979,33,59
929,1438656637,40,36
929,1438659231,41,44
929,1438680740,43,4
929,1438680894,43,17
929,1438681690,44,53
929,1438681757,44,56
929,1438682734,46,29
929,1438743095,51,17
929,1438743596,53,7
929,1438746243,57,18
929,1438802703,66,11
929,1438807263,78,23
929,1438977715,22,67
929,1438979009,24,36
929,1439185386,2,5
929,1439231366,3,42
929,1439362234,4,86
929,1439365253,4,150
929,1439418347,6,1
929,1439442405,6,128
929,1439524046,6,74
929,1439578536,2,52
929,1439578825,2,67
929,1439580301,2,140
929,1439588823,5,8
929,1439833307,9,103
929,1439835516,10,19
929,1439921912,11,37
929,1439922460,11,69
929,1439956982,16,5
929,1439957147,16,11
929,1439957245,16,16
929,1440018262,37,6
929,1440148415,20,2
929,1440148493,20,6
929,1440149101,19,28
929,1440149403,20,70
929,1440161136,19,12
929,1440161221,19,17
929,1440173839,21,87
929,1440175792,23,5
929,1440224974,26,14
929,1440225467,26,106
929,1440225558,26,109
929,1440225690,26,123
929,1440225821,26,130
929,1440226018,26,131
929,1440226686,26,223
929,1440245947,27,67
929,1440362002,32,7
929,1440414222,35,9
929,1440440519,37,130
929,1440441138,38,12
929,1440457434,2,274
929,1440476540,40,60
929,1440500015,41,5
929,1440500382,41,26
929,1440500929,42,13
929,1440501632,42,51
929,1440527226,43,63
929,1440565632,44,45
929,1440566553,46,21
929,1440569993,48,17
929,1440653602,51,18
929,1440674862,52,27
929,1440697059,53,55
929,1440697220,54,12
929,1440697488,54,32
929,1440697611,54,48
929,1440698699,55,77
929,1440702325,58,1
929,1440703191,18,39
929,1440734931,76,12
929,1440735004,76,13
929,1440735244,76,23
929,1440791208,68,18
