Date,Entries Published,Libraries Created,Unlinked Translations,Drafts,Pending Review,Pending Verification,Pending Transcription,Need Formatting,Total Entry Relationships,Books Added,Collections updated,Total Books,Profiles Created,Profiles Updated,Total Authors,Translations Recorded,Translations Updated,Total Translations,Definitions Created,Terminologies Updated,Total Terminologies Recorded,Libraries Updated,Total Libraries,Tags Created,Tags Updated,Total Tags,Database Size,Bookshelf Size,Total Contributors
12/11/2018,3,0,17347,4561,25236,0,48,187,411,0,6,647,0,2,211,22,14,75891,0,0,3,0,29,1,0,555,153.86 MB,7.37 GB,
12/12/2018,4,0,17347,4561,25236,0,48,187,418,0,2,647,0,2,211,19,10,75909,0,0,3,0,29,0,0,555,153.94 MB,7.37 GB,
12/13/2018,7,0,17343,4576,25244,0,48,187,421,0,8,647,0,0,211,97,34,76004,0,0,4,0,29,0,0,555,154.21 MB,7.37 GB,
12/13/2018,7,0,17343,4576,25244,0,48,187,421,0,8,647,0,0,211,97,34,76004,0,0,4,0,29,0,0,555,154.21 MB,7.37 GB,
12/14/2018,2,0,17343,4576,25244,0,48,187,421,6,1,653,1,1,212,32,0,76036,0,0,4,0,29,0,0,555,154.28 MB,7.37 GB,
12/15/2018,3,0,17301,4538,25273,0,48,187,423,1,2,654,0,1,212,64,56,76100,0,0,4,0,29,0,0,555,154.58 MB,7.38 GB,
12/16/2018,5,0,17272,4510,25296,0,48,188,423,1,21,655,0,0,212,42,30,76141,0,0,4,0,29,0,0,555,154.77 MB,7.38 GB,
12/17/2018,4,0,17191,4438,25375,0,48,189,426,2,2,657,0,1,212,127,26,76272,0,0,4,0,29,0,0,555,155.06 MB,7.39 GB,
12/18/2018,2,0,17191,4438,25376,0,48,189,428,2,0,658,1,0,213,22,5,76292,0,13,13,0,29,0,0,555,154.91 MB,7.39 GB,
12/18/2018,7,0,17191,4443,25380,0,48,189,428,3,0,659,1,0,213,76,19,76346,0,20,20,0,29,0,0,555,155.09 MB,7.39 GB,
12/20/2018,4,1,17191,4444,25388,0,49,191,434,2,0,661,0,0,213,64,32,76409,0,0,20,1,30,0,0,555,155.33 MB,7.39 GB,
12/21/2018,5,0,4012,4444,25393,0,49,191,448,4,1,665,1,0,214,96,4,76505,0,1,21,0,30,0,0,555,153.96 MB,7.39 GB,
12/22/2018,10,1,4012,4445,25371,0,49,191,448,2,0,667,1,0,215,112,45,76617,9,0,30,1,31,0,0,555,154.31 MB,7.40 GB,
12/23/2018,3,0,4012,4450,25323,0,49,191,448,1,0,667,1,0,215,6,126,76623,6,2,33,0,31,0,0,555,154.35 MB,7.40 GB,
12/24/2018,4,0,4012,4450,25315,0,50,191,449,0,0,667,0,0,215,154,29,76777,0,0,33,0,31,0,0,555,154.83 MB,7.40 GB,
12/26/2018,5,0,4012,4453,25298,0,51,191,456,0,2,667,0,0,215,21,24,76804,0,0,33,0,31,0,0,555,154.93 MB,7.40 GB,
12/27/2018,4,0,4012,4453,25299,0,51,191,456,4,0,671,1,0,216,8,2,76812,0,0,33,0,31,1,0,556,154.96 MB,7.42 GB,
